ID,Nationality,DistributionChannel,MarketSegment,SRAccessibleRoom,SRCrib,SRNoAlcoholInMiniBar,SRQuietRoom,PersonRoomRatio,BookingConversionRate,Continent,AccompanyingGuest,MultipleRooms,AgeGroup,LeadTimeSegment,FloorAsked,BathAsked,BedAsked,DistanceElevatorAsked,OtherRevenue_log,TotalRevenue_log,SpendingPerPerson_log,PersonsNights_log,AvgPersonsPerBooking_log,SpendingTier
1,PRT,Corporate,Corporate,0,0,0,0,-0.6665941811901496,-20.140719217797155,Southern Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,0.3818733628355986,-0.00037736794064850807,-0.33018659226166425,0.22215965880553115,-0.7287184221969158,Low Spender
4,FRA,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0.0845641262745221,0.03924461024147855,Western Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,0.10254442227761308,-0.26942079348249887,-1.5239969584963258,1.0136234420823291,1.0420517516893943,Low Spender
19,FRA,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0.0845641262745221,0.03924461024147855,Western Europe,1,1,<30,Early Planner (>30 Days),HighFloor,Not specified,KingSizeBed,Not specified,-0.34566967530387016,-0.7026554289439767,-1.7392086622146892,0.6622322579920589,0.6907850829911565,Low Spender
39,PRT,Direct,Complementary,0,0,0,0,-1.4177524886548212,0.03924461024147855,Southern Europe,0,0,30-50,Last-Minute (<7 Days),Not specified,Not specified,Not specified,Not specified,-3.5828834912543805,-7.229316646121921,-7.255891196480117,-1.9715331565316145,-1.9420470573129047,Low Spender
40,PRT,Direct,Complementary,0,0,0,0,-1.4177524886548212,0.03924461024147855,Southern Europe,0,0,30-50,Last-Minute (<7 Days),Not specified,Not specified,Not specified,Not specified,-3.5828834912543805,-7.229316646121921,-7.255891196480117,-1.9715331565316145,-1.9420470573129047,Low Spender
56,PRT,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0.0845641262745221,0.03924461024147855,Southern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,Not specified,Not specified,-1.3185496402781807,-0.6187951732347052,-1.6279934355989274,0.6622322579920589,0.6907850829911565,Low Spender
59,PRT,Direct,Complementary,0,0,0,0,-1.4177524886548212,0.03924461024147855,Southern Europe,1,1,30-50,Last-Minute (<7 Days),Not specified,Not specified,Not specified,Not specified,-2.597969692246116,-5.88954454485583,-6.098913580157887,-1.261529814402917,-1.9420470573129047,Low Spender
61,ITA,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0.0845641262745221,0.03924461024147855,Southern Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,-0.487103357264801,-0.8998298781416555,-1.53751254545468,0.22215965880553115,0.2508684234374123,Low Spender
76,FRA,Direct,Direct,0,0,0,0,1.5868807412038655,0.03924461024147855,Western Europe,1,1,50+,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,2.1873151509693476,1.126593110989826,0.05255087640985566,1.306149126919944,1.334473780112232,High Spender
77,FRA,Direct,Direct,0,0,0,0,0.0845641262745221,0.03924461024147855,Western Europe,1,1,30-50,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,2.7660697261623395,2.079299965426605,2.019666531042812,0.6622322579920589,0.6907850829911565,High Spender
78,FRA,Direct,Direct,0,0,0,0,0.0845641262745221,0.03924461024147855,Western Europe,1,1,<30,Early Planner (>30 Days),Not specified,Not specified,KingSizeBed,Not specified,2.775436136474633,2.086658474155305,2.0297043141033413,0.6622322579920589,0.6907850829911565,High Spender
